domain,direct_dns,crtsh,whois,ssl_inspection,ipwhois,port_scan,tech_fingerprint,duckduckgo,bing,google,wikidata,theharvester,recon_ng,hunter,phonebook_cz,github_code,github_repos,hibp,hackertarget,dehashed,brave,bufferoverun,censys,projectdiscovery,rapiddns,rocketreach,subdomaincenter,subdomainfinderc99,thc,threatminer,urlscan,windvane,direct_dns__status,crtsh__status,whois__status,ssl_inspection__status,ipwhois__status,port_scan__status,tech_fingerprint__status,duckduckgo__status,bing__status,google__status,wikidata__status,theharvester__status,recon_ng__status,hunter__status,phonebook_cz__status,github_code__status,github_repos__status,hibp__status,hackertarget__status,dehashed__status,brave__status,bufferoverun__status,censys__status,projectdiscovery__status,rapiddns__status,rocketreach__status,subdomaincenter__status,subdomainfinderc99__status,thc__status,threatminer__status,urlscan__status,windvane__status
hilton.com,11,0,1,1,1,13,2,0,0,,0,0,0,0,0,0,6,0,0,0,2,0,,,0,0,,,,0,3,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
coca-colacompany.com,35,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,4,0,0,0,0,0,,,24,0,,,,0,5,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
pepsico.com,160,0,1,1,1,19,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,99,0,,,,0,13,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
pfizer.com,176,0,1,1,1,4,10,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,98,0,,,,0,7,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
moderna.com,9,0,1,1,1,14,4,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,,,2,0,,,,0,1,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
siemens.com,229,0,1,1,1,2,6,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,92,0,,,,0,20,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
samsung.com,173,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,100,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
sony.com,190,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,14,0,0,0,2,0,,,99,0,,,,0,17,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
bbc.com,141,0,1,1,1,2,4,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,97,0,,,,0,1,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
nytimes.com,162,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,9,0,0,0,2,0,,,87,0,,,,0,6,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
reuters.com,119,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,96,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
t-mobile.com,223,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,32,0,0,0,2,0,,,103,0,,,,0,30,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
vodafone.com,216,0,1,1,1,2,5,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,115,0,,,,0,62,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
nasa.gov,162,0,1,1,1,2,5,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,112,0,,,,0,8,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
europa.eu,10,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,10,0,0,0,1,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
